,year,Algeria,Angola,Argentina,Australia,Austria,Belgium,Bolivia,Bosnia and Herzegovina,Brazil,Bulgaria,Cameroon,Canada,Chile,China PR,Colombia,Costa Rica,Croatia,Cuba,Czech Republic,Czechoslovakia,DR Congo,Denmark,Ecuador,Egypt,El Salvador,England,France,German DR,Germany,Ghana,Greece,Haiti,Honduras,Hungary,Iceland,Indonesia,Iran,Iraq,Israel,Italy,Ivory Coast,Jamaica,Japan,Kuwait,Mexico,Morocco,Netherlands,New Zealand,Nigeria,North Korea,Northern Ireland,Norway,Panama,Paraguay,Peru,Poland,Portugal,Qatar,Republic of Ireland,Romania,Russia,Saudi Arabia,Scotland,Senegal,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Togo,Trinidad and Tobago,Tunisia,Turkey,Ukraine,United Arab Emirates,United States,Uruguay,Wales,Yugoslavia
0,1930,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,7.0
1,1934,0.0,0.0,20.0,0.0,7.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,7.0
2,1938,0.0,0.0,20.0,0.0,7.0,3.0,0.0,0.0,20.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,7.0
3,1950,0.0,0.0,20.0,0.0,7.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,2.0,10.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,30.0,0.0,14.0
4,1954,0.0,0.0,20.0,0.0,24.0,8.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,10.0,13.0,0.0,39.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,26.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,46.0,0.0,16.0
5,1958,0.0,0.0,25.0,0.0,26.0,8.0,0.0,0.0,66.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,23.0,0.0,0.0,0.0,2.0,0.0,14.0,36.0,0.0,51.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,12.0,1.0,5.0,0.0,0.0,0.0,8.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,38.0,25.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,46.0,4.0,23.0
6,1962,0.0,0.0,27.0,0.0,26.0,8.0,0.0,0.0,80.0,1.0,0.0,0.0,20.0,0.0,5.0,0.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,19.0,36.0,0.0,55.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,0.0,0.0,6.0,1.0,0.0,12.0,1.0,5.0,0.0,0.0,0.0,8.0,14.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,38.0,27.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,50.0,4.0,33.0
7,1966,0.0,0.0,31.0,0.0,26.0,8.0,0.0,0.0,84.0,2.0,0.0,0.0,22.0,0.0,5.0,0.0,0.0,5.0,0.0,30.0,0.0,0.0,0.0,2.0,0.0,30.0,38.0,0.0,70.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,13.0,0.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,12.0,1.0,5.0,17.0,0.0,0.0,8.0,24.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,52.0,4.0,33.0
8,1970,0.0,0.0,31.0,0.0,26.0,12.0,0.0,0.0,103.0,7.0,0.0,0.0,22.0,0.0,5.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,34.0,38.0,0.0,87.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,0.0,0.0,19.0,2.0,2.0,0.0,0.0,5.0,6.0,1.0,0.0,12.0,10.0,5.0,17.0,0.0,0.0,12.0,30.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,56.0,4.0,33.0
9,1974,0.0,0.0,40.0,0.0,26.0,12.0,0.0,0.0,109.0,9.0,0.0,0.0,23.0,0.0,5.0,0.0,0.0,5.0,0.0,32.0,0.0,0.0,0.0,2.0,0.0,34.0,38.0,5.0,100.0,0.0,0.0,2.0,0.0,70.0,0.0,0.0,0.0,0.0,1.0,53.0,0.0,0.0,0.0,0.0,19.0,2.0,17.0,0.0,0.0,5.0,6.0,1.0,0.0,12.0,10.0,21.0,17.0,0.0,0.0,12.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,47.0,28.0,0.0,0.0,0.0,10.0,0.0,0.0,12.0,57.0,4.0,45.0
