index,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,year
1311,1930-07-13,Belgium,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1312,1930-07-13,France,Mexico,4.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1313,1930-07-14,Brazil,Yugoslavia,1.0,2.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1314,1930-07-14,Peru,Romania,1.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1315,1930-07-15,Argentina,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1316,1930-07-16,Chile,Mexico,3.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1317,1930-07-17,Bolivia,Yugoslavia,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1318,1930-07-17,Paraguay,United States,0.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1320,1930-07-18,Uruguay,Peru,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,False,1930
1321,1930-07-19,Argentina,Mexico,6.0,3.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1322,1930-07-19,Chile,France,1.0,0.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1323,1930-07-20,Belgium,Paraguay,0.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1324,1930-07-20,Bolivia,Brazil,0.0,4.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1325,1930-07-21,Uruguay,Romania,4.0,0.0,FIFA World Cup,Montevideo,Uruguay,False,1930
1326,1930-07-22,Argentina,Chile,3.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1328,1930-07-26,Argentina,United States,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,True,1930
1329,1930-07-27,Uruguay,Yugoslavia,6.0,1.0,FIFA World Cup,Montevideo,Uruguay,False,1930
1330,1930-07-30,Uruguay,Argentina,4.0,2.0,FIFA World Cup,Montevideo,Uruguay,False,1930
1688,1934-05-27,Argentina,Sweden,2.0,3.0,FIFA World Cup,Bologna,Italy,True,1934
1689,1934-05-27,Austria,France,3.0,2.0,FIFA World Cup,Turin,Italy,True,1934
1690,1934-05-27,Belgium,Germany,2.0,5.0,FIFA World Cup,Florence,Italy,True,1934
1691,1934-05-27,Brazil,Spain,1.0,3.0,FIFA World Cup,Genoa,Italy,True,1934
1692,1934-05-27,Czechoslovakia,Romania,2.0,1.0,FIFA World Cup,Trieste,Italy,True,1934
1693,1934-05-27,Egypt,Hungary,2.0,4.0,FIFA World Cup,Naples,Italy,True,1934
1694,1934-05-27,Italy,United States,7.0,1.0,FIFA World Cup,Rome,Italy,False,1934
1695,1934-05-27,Netherlands,Switzerland,2.0,3.0,FIFA World Cup,Milan,Italy,True,1934
