team,wins,losses,year,score,conceded
Argentina,4.0,1.0,1930,18.0,9.0
Belgium,0.0,2.0,1930,0.0,4.0
Bolivia,0.0,2.0,1930,0.0,8.0
Brazil,1.0,1.0,1930,5.0,2.0
Chile,2.0,1.0,1930,5.0,3.0
France,1.0,2.0,1930,4.0,3.0
Mexico,0.0,3.0,1930,4.0,13.0
Paraguay,1.0,1.0,1930,1.0,3.0
Peru,0.0,2.0,1930,1.0,4.0
Romania,1.0,1.0,1930,3.0,5.0
United States,2.0,1.0,1930,7.0,6.0
Uruguay,4.0,0.0,1930,15.0,3.0
Yugoslavia,2.0,1.0,1930,7.0,7.0
Argentina,0.0,1.0,1934,2.0,3.0
Austria,2.0,2.0,1934,7.0,7.0
Belgium,0.0,1.0,1934,2.0,5.0
Brazil,0.0,1.0,1934,1.0,3.0
Czechoslovakia,3.0,1.0,1934,9.0,6.0
Egypt,0.0,1.0,1934,2.0,4.0
France,0.0,1.0,1934,2.0,3.0
Germany,3.0,1.0,1934,11.0,8.0
Hungary,1.0,1.0,1934,5.0,4.0
Italy,4.0,0.0,1934,12.0,3.0
Netherlands,0.0,1.0,1934,2.0,3.0
Romania,0.0,1.0,1934,1.0,2.0
Spain,1.0,1.0,1934,4.0,3.0
Sweden,1.0,1.0,1934,4.0,4.0
Switzerland,1.0,1.0,1934,5.0,5.0
United States,0.0,1.0,1934,1.0,7.0
Belgium,0.0,1.0,1938,1.0,3.0
Brazil,3.0,1.0,1938,14.0,11.0
Cuba,1.0,1.0,1938,5.0,12.0
Czechoslovakia,1.0,1.0,1938,5.0,3.0
France,1.0,1.0,1938,4.0,4.0
Germany,0.0,1.0,1938,3.0,5.0
Hungary,3.0,1.0,1938,15.0,5.0
Indonesia,0.0,1.0,1938,0.0,6.0
Italy,4.0,0.0,1938,11.0,5.0
Netherlands,0.0,1.0,1938,0.0,3.0
Norway,0.0,1.0,1938,1.0,2.0
Poland,0.0,1.0,1938,5.0,6.0
Romania,0.0,1.0,1938,4.0,5.0
Sweden,1.0,2.0,1938,11.0,9.0
Switzerland,1.0,1.0,1938,5.0,5.0
Bolivia,0.0,1.0,1950,0.0,8.0
Brazil,4.0,1.0,1950,22.0,6.0
Chile,1.0,2.0,1950,5.0,6.0
England,1.0,2.0,1950,2.0,2.0
Italy,1.0,1.0,1950,4.0,3.0
Mexico,0.0,3.0,1950,2.0,10.0
Paraguay,0.0,1.0,1950,2.0,4.0
Spain,3.0,2.0,1950,10.0,12.0
Sweden,2.0,2.0,1950,11.0,15.0
Switzerland,1.0,1.0,1950,4.0,6.0
United States,1.0,2.0,1950,4.0,8.0
Uruguay,3.0,0.0,1950,15.0,5.0
Yugoslavia,2.0,1.0,1950,7.0,3.0
Austria,4.0,1.0,1954,17.0,12.0
Belgium,0.0,1.0,1954,5.0,8.0
Brazil,1.0,1.0,1954,8.0,5.0
Czechoslovakia,0.0,2.0,1954,0.0,7.0
England,1.0,1.0,1954,8.0,8.0
France,1.0,1.0,1954,3.0,3.0
Germany,5.0,1.0,1954,25.0,14.0
Hungary,4.0,1.0,1954,27.0,10.0
Italy,1.0,2.0,1954,6.0,7.0
Mexico,0.0,2.0,1954,2.0,8.0
Scotland,0.0,2.0,1954,0.0,8.0
South Korea,0.0,2.0,1954,0.0,16.0
Switzerland,2.0,2.0,1954,11.0,11.0
Turkey,1.0,2.0,1954,10.0,11.0
Uruguay,3.0,2.0,1954,16.0,9.0
Yugoslavia,1.0,1.0,1954,2.0,3.0
Argentina,1.0,2.0,1958,5.0,10.0
Austria,0.0,2.0,1958,2.0,7.0
Brazil,5.0,0.0,1958,16.0,4.0
Czechoslovakia,1.0,2.0,1958,9.0,6.0
England,0.0,1.0,1958,4.0,5.0
France,4.0,2.0,1958,23.0,15.0
Germany,2.0,2.0,1958,12.0,14.0
Hungary,1.0,2.0,1958,7.0,5.0
Mexico,0.0,2.0,1958,1.0,8.0
Northern Ireland,2.0,2.0,1958,6.0,10.0
Paraguay,1.0,1.0,1958,9.0,12.0
Russia,2.0,2.0,1958,5.0,6.0
Scotland,0.0,2.0,1958,4.0,6.0
Sweden,4.0,1.0,1958,12.0,7.0
Wales,1.0,1.0,1958,4.0,4.0
Yugoslavia,1.0,1.0,1958,7.0,7.0
Argentina,1.0,1.0,1962,2.0,3.0
Brazil,5.0,0.0,1962,14.0,5.0
Bulgaria,0.0,2.0,1962,1.0,7.0
Chile,4.0,2.0,1962,10.0,8.0
Colombia,0.0,2.0,1962,5.0,11.0
